Python软件开发工程师,本科,上海,不需要融资,瞬联软件科技（北京）有限公司,"移动互联网 ,企业服务",10k-15k,长宁区,"五险一金,带薪年假,弹性工作,氛围自由",500-2000人,1-3年
python开发工程师,本科,北京,C轮,今日头条,"移动互联网,数据服务",25k-50k,海淀区,六险一金，高薪期权，弹性工作，免费三餐，租房补贴，休闲下午茶，扁平管理，团队氛围好，优厚薪资,2000人以上,3-5年
python开发工程师,大专,南阳,A轮,奇观技术,"移动互联网,数据服务",3k-6k,宛城区,理工科专业,50-150人,1-3年
python开发工程师,本科,北京,B轮,一览科技,"移动互联网,文化娱乐",20k-40k,朝阳区,福利优厚,150-500人,3-5年
Python中级工程师,本科,廊坊,A轮,ZingFront智线,"移动互联网,数据服务",8k-10k,广阳区,"五险一金,带薪年假,技术成长,晋升空间大",50-150人,1-3年
python研发工程师,本科,北京,B轮,数美,"企业服务,数据服务",15k-30k,朝阳区,"飞速发展,发展快,海量数据",150-500人,1-3年
Python开发工程师,大专,杭州,不需要融资,牛盾网络,"信息安全,移动互联网",8k-16k,余杭区,"六险一金,周末双休,员工旅游",15-50人,1-3年
Python,本科,深圳,A轮,糗事百科,移动互联网,15k-30k,南山区,老司机来开车,50-150人,3-5年
高级Python开发工程师,本科,大连,上市公司,Veeva,"移动互联网,企业服务",16k-25k,沙河口区,"纽交所上市,云计算,SaaS,股票",500-2000人,5-10年
python开发工程师,本科,上海,B轮,MXCHIP,硬件,15k-18k,普陀区,发展空间大,150-500人,1-3年
Python研发工程师,本科,北京,上市公司,京东金融,金融,25k-50k,大兴区,餐补+年终奖+良好的晋升空间,2000人以上,5-10年
python工程师,大专,大连,B轮,推想科技,"医疗健康,数据服务",6k-12k,中山区,"人工智能,快速成长,弹性工作,年终奖丰厚",50-150人,1年以下
Python,大专,深圳,未融资,515游戏,游戏,15k-25k,南山区,"国内外旅游,五险一金,任性下午茶,年终奖金",15-50人,3-5年
Python 研发工程师,本科,北京,C轮,今日头条,"移动互联网,数据服务",25k-45k,海淀区,六险一金，高薪期权，弹性工作，免费三餐，租房补贴，带薪休假，扁平管理，职业大牛，晋升空间,2000人以上,3-5年
Python开发,本科,广州,不需要融资,武汉佰钧成技术有限公司,移动互联网,12k-24k,天河区,"五险一金,弹性上下班,年度体检,加班少",2000人以上,1-3年
Python工程师,本科,杭州,天使轮,TELETRAAN,"数据服务,企业服务",15k-30k,滨江区,"弹性工作,硅谷团队,股权激励,全正版软件",15-50人,3-5年
python工程师,本科,深圳,不需要融资,紫川软件,"电子商务,金融",8k-14k,福田区,周末双休 免费体检 员工旅游 五险一金,500-2000人,1-3年
